baseline,steps,matrix_multiplications,unit_exact_local_deficit,worst_angle_radians,unit_fixed_scale_deficit_grid,fixed_scale_minimum_at_worst_angle,clean_normalization_deficit,clean_normalization_grid_fraction,eps1_full_calibration_deficit_lower_bound,eps1_full_validation_deficit_lower_bound,eps1_full_combined_grid_deficit_lower_bound,eps1_diagonal_calibration_deficit_lower_bound,eps1_diagonal_validation_deficit_lower_bound,eps1_diagonal_combined_grid_deficit_lower_bound,deployed_eps_local_deficit_grid_lower_bound,deployed_eps_diagonal_grid_deficit_lower_bound,exact_rational_slope_mismatch_at_3_5_4_5,exact_global_deficit
taylor_quintic,1,3,0.0494872534189566,1.0975628562712387,0.0,0.08090435728674472,0.0494872534189566,1.0,0.0018058010868561777,0.0018051141452162245,0.0018058010868561777,0.0018058010868561777,0.0018051141452162245,0.0018058010868561777,18058.010868561778,18058.010868561778,True,infinite
taylor_quintic,2,6,0.03324108830865957,0.3186851029215232,0.0,1.278635704339809e-08,0.03324108830865957,1.0,0.006943569374460501,0.006946447475365297,0.006946447475365297,0.006943569374460501,0.006946447475365297,0.006946447475365297,69464.47475365298,69464.47475365298,True,infinite
taylor_quintic,3,9,0.017703787522640457,0.17103964007581152,0.0,0.0,0.017703787522640457,1.0,0.007828929645525173,0.007834596493161983,0.007834596493161983,0.007828929645525173,0.007834596493161983,0.007834596493161983,78345.96493161983,78345.96493161983,True,infinite
taylor_quintic,4,12,0.009438765774326008,0.09127274066825816,0.0,0.0,0.009438765774326008,1.0,0.005975232481274517,0.005974633326647494,0.005975232481274517,0.005975232481274517,0.005974633326647494,0.005975232481274517,59752.32481274517,59752.32481274517,True,infinite
taylor_quintic,5,15,0.005033546126447241,0.04870482800365036,0.0,0.0,0.005033546126447241,1.0,0.0038394048082741605,0.0038408639253573185,0.0038408639253573185,0.0038394048082741605,0.0038408639253573185,0.0038408639253573185,38408.63925357319,38408.63925357319,True,infinite
polar_express_repo_71cc_steps5,1,3,5.648598117034362,0.7853981633974484,6.230213666298379,-5.648598117034364,0.21662584732375745,0.24066390041493776,1.1779815254950128,1.1783268788042391,1.1783268788042391,1.1779815254950126,1.1783240833033362,1.1783240833033362,11783268.788042393,11783240.833033362,True,infinite
polar_express_repo_71cc_steps5,2,6,20.659817058456802,1.4043586232233671,55.56277004322008,-46.788486035102494,1.5188916232315541,0.11618257261410789,15.258580567976619,15.25600253684364,15.258580567976619,15.258580567976619,15.255963891345113,15.258580567976619,152585805.6797662,152585805.6797662,True,infinite
polar_express_repo_71cc_steps5,3,9,76.37873822452056,0.03911746028639636,124.62811405132605,-76.47057620075687,13.038243167167373,0.17329753478154747,72.24122232547192,72.01255146580962,72.24122232547192,72.24122232547192,72.01243832612232,72.24122232547192,722412223.2547193,722412223.2547193,True,infinite
polar_express_repo_71cc_steps5,4,12,213.79206119801074,0.009588367717254008,306.1875785323671,-297.9423852472347,18.55895410538455,0.10495484500854284,210.98046471488823,210.48421940459568,210.98046471488823,210.9804647148882,210.48421940459568,210.9804647148882,2109804647.1488824,2109804647.1488822,True,infinite
polar_express_repo_71cc_steps5,5,15,218.07151358149085,0.0026854629608311226,218.07300258732337,-218.07300258732337,13.567218943265686,0.10202587258969978,217.8888134213974,217.67652112492885,217.8888134213974,217.8888134213974,217.67652112492885,217.8888134213974,2178888134.213974,2178888134.213974,True,infinite
cans_degree5_iter4_delta0.3,1,3,5.8553254281562825,0.7853981633974484,6.696542440563256,-5.855325428156284,0.3849666807263299,0.2577495728581889,1.3321065203149127,1.332397828778463,1.332397828778463,1.3321065203149127,1.332394728707223,1.332394728707223,13323978.28778463,13323947.287072232,True,infinite
cans_degree5_iter4_delta0.3,2,6,20.59445711309571,0.1545493676021346,63.20166680062874,-21.0705935292213,1.8383519944094644,0.11422992433487918,16.49265971318064,16.484186188596986,16.49265971318064,16.49265971318064,16.48414495136905,16.49265971318064,164926597.1318064,164926597.1318064,True,infinite
cans_degree5_iter4_delta0.3,3,9,72.43395562905589,0.03643299732556523,631.5782548360941,-69.75556981768956,13.587363897901156,0.12716621918476934,66.31789167414746,66.17850250487035,66.31789167414746,66.31789167414745,66.17838023797515,66.31789167414745,663178916.7414746,663178916.7414745,True,infinite
cans_degree5_iter4_delta0.3,4,12,130.30948207298638,0.009588367717254008,3146.1916528998177,-125.01258348721444,15.78422297911207,0.12667805711496216,123.05158958000806,123.26223423409336,123.26223423409336,123.05158958000806,123.2619345652646,123.2619345652646,1232622342.3409336,1232619345.652646,True,infinite
