config,baseline,steps,normalization,intervention,learning_rate,normalized_learning_rate,target_and_hold_fraction,bounded_fraction,unresolved_fraction,divergent_fraction,median_final_ratio,median_tail_maximum_ratio
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.152725680740085,0.5260636073092227,1.0,1.0,0.0,0.0,3.9752332330336294e-36,7.931897356881462e-34
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.1819630459804838,0.6267717118797764,1.0,1.0,0.0,0.0,4.38811847056813e-43,2.495383384167083e-40
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.2167975283661992,0.7467590864573732,1.0,1.0,0.0,0.0,1.7996436512728903e-51,3.6173232097652325e-48
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.2583006239120332,0.8897164990649983,1.0,1.0,0.0,0.0,1.3166546982334548e-61,1.2171566804147694e-57
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.30774895274935143,1.060041267745141,1.0,1.0,0.0,0.0,6.82171937186656e-74,4.0087915325364057e-69
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.3666635274972342,1.2629725204642233,1.0,1.0,0.0,0.0,7.716233772978819e-89,4.302913493927989e-83
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.43685653905770555,1.504752348784267,1.0,1.0,0.0,0.0,4.1703276456001245e-107,3.638462321940453e-100
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.5204870989490936,1.792817812330153,1.0,1.0,0.0,0.0,1.4692814831035198e-129,3.7677816734514516e-121
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.620127652791432,2.1360297000400874,0.0,1.0,1.0,0.0,0.0020543966527155843,0.0020543966527155843
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.7388431077985715,2.5449450848121797,0.0,1.0,1.0,0.0,0.024516969971297237,0.024516969971297237
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,0.8802851082098913,3.0321420552289706,0.0,1.0,1.0,0.0,0.07060386731287188,0.07060386731287191
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,1.0488043585396196,3.61260661298972,0.0,1.0,1.0,0.0,0.1432023517508215,0.1432023517508215
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,1.2495844496660804,4.304193636874814,0.0,1.0,1.0,0.0,0.24766385378725098,0.24766385378725103
jordan_quintic:steps=1:current_plus_eps:unrepaired,jordan_quintic,1,current_plus_eps,unrepaired,1.4888013042027184,5.128176092326264,0.0,1.0,1.0,0.0,0.39144112847047774,0.3914411284704781
